plan_id,case_label,site_group,model_id,model_label,mean_gammah2ax_peak,mean_gammah2ax_valley,mean_tunel_peak,mean_tunel_valley,mean_cytokine_final_peak,mean_cytokine_final_valley,cytokine_global_auc,cytokine_peak_roi_auc,cytokine_valley_roi_auc,immune_scalar,icd_volume_cm3,repeat_id,seed,history_scale
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,no_sink,"Bystander, no vascular sink",0.696556568145752,0.6457045674324036,0.9959530830383301,0.9169102311134338,143.27337646484375,60.5164794921875,138.64634704589844,3780.101318359375,1487.3751220703125,0.9815105168180339,265.424,seed11_hist0p5,11,0.5
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",0.6965728998184204,0.6453750133514404,0.995941698551178,0.9113585948944092,142.88446044921875,58.318382263183594,133.5134735107422,3776.082275390625,1444.40576171875,0.9815105168180339,265.424,seed11_hist0p5,11,0.5
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,no_sink,"Bystander, no vascular sink",0.6716170907020569,0.5590704083442688,0.9950652122497559,0.8998610377311707,138.89166259765625,64.51084899902344,152.5291748046875,3696.889892578125,1580.8970947265625,0.9715171125187987,170.544,seed11_hist0p5,11,0.5
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,true_vessel_sink,"Bystander, anatomical vascular sink",0.67042076587677,0.5588023066520691,0.96363765001297,0.8781036138534546,86.18763732910156,53.5994987487793,138.34019470214844,2478.7958984375,1369.2305908203125,0.9715171125187987,170.544,seed11_hist0p5,11,0.5
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,no_sink,"Bystander, no vascular sink",0.9194670915603638,0.49574488401412964,0.997032880783081,0.8933004140853882,116.95738220214844,66.0831069946289,92.59733581542969,3116.60693359375,1675.27001953125,0.7706422018348624,16.8,seed11_hist0p5,11,0.5
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,true_vessel_sink,"Bystander, anatomical vascular sink",0.9196301102638245,0.4938455820083618,0.9969049692153931,0.817879319190979,113.2920150756836,44.87931442260742,79.99240112304688,3070.138427734375,1217.90283203125,0.7706422018348624,16.8,seed11_hist0p5,11,0.5
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,no_sink,"Bystander, no vascular sink",0.679617166519165,0.550396203994751,0.9896867871284485,0.8991333246231079,127.18373107910156,62.72903823852539,149.19015502929688,3338.69775390625,1544.865478515625,0.9706131277035922,165.144,seed11_hist0p5,11,0.5
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,true_vessel_sink,"Bystander, anatomical vascular sink",0.6773252487182617,0.5500379204750061,0.9427188038825989,0.8800370097160339,83.9757080078125,54.28089904785156,136.82711791992188,2374.79833984375,1383.80126953125,0.9706131277035922,165.144,seed11_hist0p5,11,0.5
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,no_sink,"Bystander, no vascular sink",0.7213277220726013,0.583656370639801,0.9857857823371887,0.9234921336174011,106.50144958496094,71.10084533691406,133.66793823242188,2760.45751953125,1792.7933349609375,0.9721715125339507,174.672,seed11_hist0p5,11,0.5
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,true_vessel_sink,"Bystander, anatomical vascular sink",0.7213903069496155,0.5830885767936707,0.9857857823371887,0.9130151867866516,106.50125885009766,68.44664001464844,128.94444274902344,2760.45654296875,1740.0640869140625,0.9721715125339507,174.672,seed11_hist0p5,11,0.5
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,no_sink,"Bystander, no vascular sink",0.799624502658844,0.6723077893257141,0.9970279932022095,0.9232844114303589,136.467041015625,65.52239227294922,169.35797119140625,3646.16552734375,1616.5489501953125,0.9883271389350615,423.344,seed11_hist0p5,11,0.5
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,true_vessel_sink,"Bystander, anatomical vascular sink",0.7996478080749512,0.6718646287918091,0.9970219731330872,0.9145715236663818,136.25872802734375,61.83097457885742,161.99420166015625,3644.191162109375,1545.782958984375,0.9883271389350615,423.344,seed11_hist0p5,11,0.5
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,no_sink,"Bystander, no vascular sink",0.6763774156570435,0.5176176428794861,0.9953684210777283,0.8768884539604187,141.0830841064453,56.78542709350586,120.9176025390625,3739.012939453125,1395.493408203125,0.9490917976704407,93.21600000000001,seed11_hist1p0,11,1.0
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,true_vessel_sink,"Bystander, anatomical vascular sink",0.6763810515403748,0.5170798301696777,0.995353639125824,0.8683449029922485,140.7427215576172,54.839447021484375,116.782470703125,3735.515625,1357.773681640625,0.9490917976704407,93.21600000000001,seed11_hist1p0,11,1.0
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,no_sink,"Bystander, no vascular sink",0.6701980829238892,0.5353038907051086,0.9950802326202393,0.8925617933273315,139.23568725585938,64.02344512939453,152.929931640625,3705.403564453125,1568.573486328125,0.9641299357208448,134.392,seed11_hist1p0,11,1.0
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,true_vessel_sink,"Bystander, anatomical vascular sink",0.668886661529541,0.5349507331848145,0.9603166580200195,0.8678064942359924,86.70281219482422,53.209712982177734,138.88145446777344,2490.9658203125,1359.191162109375,0.9641299357208448,134.392,seed11_hist1p0,11,1.0
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,no_sink,"Bystander, no vascular sink",0.7214920520782471,0.4611433744430542,0.9892928600311279,0.8824912905693054,114.14837646484375,63.69654846191406,92.29475402832031,3052.908935546875,1613.9156494140625,0.529012810851545,5.6160000000000005,seed11_hist1p0,11,1.0
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,true_vessel_sink,"Bystander, anatomical vascular sink",0.72202467918396,0.45899277925491333,0.9888702630996704,0.8015865087509155,110.63508605957031,43.24482727050781,80.04922485351562,3008.37890625,1172.9775390625,0.529012810851545,5.6160000000000005,seed11_hist1p0,11,1.0
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,no_sink,"Bystander, no vascular sink",0.6807403564453125,0.5207720398902893,0.9911385178565979,0.8895567655563354,127.90819549560547,62.408164978027344,148.5892333984375,3354.679931640625,1537.20751953125,0.9575378762144168,112.752,seed11_hist1p0,11,1.0
case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,true_vessel_sink,"Bystander, anatomical vascular sink",0.6790523529052734,0.5205060243606567,0.9548531770706177,0.8700580596923828,84.09831237792969,53.919593811035156,135.9783172607422,2378.517822265625,1375.628662109375,0.9575378762144168,112.752,seed11_hist1p0,11,1.0
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,no_sink,"Bystander, no vascular sink",0.6987230181694031,0.4837864339351654,0.9840160012245178,0.9000974297523499,105.3730239868164,68.00566101074219,124.84391784667969,2744.594970703125,1713.736328125,0.8967283542630535,43.416000000000004,seed11_hist1p0,11,1.0
case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,true_vessel_sink,"Bystander, anatomical vascular sink",0.6988055109977722,0.48321470618247986,0.9840160012245178,0.8888726830482483,105.3728256225586,65.32313537597656,120.38539123535156,2744.59423828125,1660.4112548828125,0.8967283542630535,43.416000000000004,seed11_hist1p0,11,1.0
case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,no_sink,"Bystander, no vascular sink",0.6746152639389038,0.5566345453262329,0.994918704032898,0.8987135291099548,134.49978637695312,63.64264678955078,157.79112243652344,3602.30126953125,1570.305908203125,0.9730870257933945,180.784,seed11_hist1p0,11,1.0
