repeat_id,seed,history_scale,histories_base,histories_spot,repeat_root,plan_id,case_label,site_group,mode,mode_label,mean_gammah2ax_peak,mean_gammah2ax_valley,mean_tunel_peak,mean_tunel_valley,mean_cytokine_final_peak,mean_cytokine_final_valley,cytokine_global_auc,cytokine_peak_roi_auc,cytokine_valley_roi_auc,immune_scalar,icd_volume_cm3
seed11_hist2p0,11,2.0,24000,48000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist2p0,case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,bystander_no_sink,"Bystander, no vascular sink",0.6840794086456299,0.4776330888271332,0.9914228320121765,0.8727264404296875,126.82147216796875,60.44436264038086,141.2549591064453,3332.579833984375,1488.19873046875,0.9393086036123519,77.384
seed11_hist2p0,11,2.0,24000,48000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist2p0,case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,bystander_with_sink,"Bystander, anatomical vascular sink",0.682803750038147,0.47790980339050293,0.9606082439422607,0.8506181836128235,83.06206512451172,52.29021453857422,129.0828094482422,2356.059326171875,1333.77978515625,0.9393086036123519,77.384
seed11_hist2p0,11,2.0,24000,48000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist2p0,case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,physical_only,Physical-only,0.6165346503257751,0.2379225790500641,0.6165346503257751,0.2379225790500641,0.0,0.0,0.0,0.0,0.0,0.8183667538506249,22.528
seed11_hist2p0,11,2.0,24000,48000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist2p0,case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,bystander_no_sink,"Bystander, no vascular sink",0.698756217956543,0.4435040056705475,0.983859658241272,0.8870428800582886,103.89752197265625,64.54594421386719,120.45613098144531,2719.393310546875,1626.7423095703125,0.8183667538506249,22.528
seed11_hist2p0,11,2.0,24000,48000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist2p0,case06,Buccal mucosa / cheek infiltrative crescent,cheek_superficial,bystander_with_sink,"Bystander, anatomical vascular sink",0.6988080739974976,0.44279083609580994,0.983859658241272,0.8742563724517822,103.89735412597656,62.0814323425293,116.2184066772461,2719.392333984375,1578.0205078125,0.8183667538506249,22.528
seed11_hist2p0,11,2.0,24000,48000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist2p0,case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,physical_only,Physical-only,0.6125720739364624,0.2934625446796417,0.6125720739364624,0.2934625446796417,0.0,0.0,0.0,0.0,0.0,0.9411930748964998,80.024
seed11_hist2p0,11,2.0,24000,48000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist2p0,case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,bystander_no_sink,"Bystander, no vascular sink",0.6532553434371948,0.5002540349960327,0.9942392110824585,0.8804786801338196,132.68502807617188,61.31320571899414,145.21734619140625,3566.427490234375,1512.5966796875,0.9411930748964998,80.024
seed11_hist2p0,11,2.0,24000,48000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed11_hist2p0,case07,Oral tongue / floor-of-mouth horseshoe,oral_tongue_floor_mouth,bystander_with_sink,"Bystander, anatomical vascular sink",0.6532854437828064,0.49935677647590637,0.9942265152931213,0.8645859956741333,132.50311279296875,58.1430778503418,139.22796630859375,3564.700927734375,1452.121337890625,0.9411930748964998,80.024
seed22_hist0p5,22,0.5,6000,12000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed22_hist0p5,case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,physical_only,Physical-only,0.6379565596580505,0.3782513737678528,0.6379565596580505,0.3782513737678528,0.0,0.0,0.0,0.0,0.0,0.9632201494733126,130.94400000000002
seed22_hist0p5,22,0.5,6000,12000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed22_hist0p5,case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,bystander_no_sink,"Bystander, no vascular sink",0.6727206707000732,0.5697596073150635,0.9956590533256531,0.8929949402809143,141.94932556152344,58.7843017578125,122.30338287353516,3753.82958984375,1446.9200439453125,0.9632201494733126,130.94400000000002
seed22_hist0p5,22,0.5,6000,12000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed22_hist0p5,case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,bystander_with_sink,"Bystander, anatomical vascular sink",0.6727275252342224,0.56928950548172,0.9956427812576294,0.8854438066482544,141.58497619628906,56.7626838684082,118.05754852294922,3750.060546875,1407.4122314453125,0.9632201494733126,130.94400000000002
seed22_hist0p5,22,0.5,6000,12000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed22_hist0p5,case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,physical_only,Physical-only,0.6278517842292786,0.4274738132953644,0.6278517842292786,0.4274738132953644,0.0,0.0,0.0,0.0,0.0,0.9818123617739495,269.912
seed22_hist0p5,22,0.5,6000,12000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed22_hist0p5,case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,bystander_no_sink,"Bystander, no vascular sink",0.6642806529998779,0.5942504405975342,0.9946265816688538,0.9139550924301147,138.5090789794922,64.92922973632812,160.03016662597656,3682.498779296875,1592.544189453125,0.9818123617739495,269.912
seed22_hist0p5,22,0.5,6000,12000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed22_hist0p5,case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,bystander_with_sink,"Bystander, anatomical vascular sink",0.6625388264656067,0.5930672883987427,0.9494036436080933,0.886871874332428,86.68746185302734,54.41373062133789,146.35739135742188,2487.34423828125,1389.780029296875,0.9818123617739495,269.912
seed22_hist0p5,22,0.5,6000,12000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed22_hist0p5,case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,physical_only,Physical-only,0.6191864609718323,0.3398754596710205,0.6191864609718323,0.3398754596710205,0.0,0.0,0.0,0.0,0.0,0.9452474813841437,86.32000000000001
seed22_hist0p5,22,0.5,6000,12000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed22_hist0p5,case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,bystander_no_sink,"Bystander, no vascular sink",0.6935179233551025,0.5247185230255127,0.985990047454834,0.9017466306686401,115.64256286621094,67.21305084228516,99.52450561523438,3078.999267578125,1703.72216796875,0.9452474813841437,86.32000000000001
seed22_hist0p5,22,0.5,6000,12000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed22_hist0p5,case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,bystander_with_sink,"Bystander, anatomical vascular sink",0.6937336921691895,0.5218235850334167,0.9854886531829834,0.827098548412323,111.95513916015625,46.08723449707031,86.80831146240234,3032.14404296875,1249.0953369140625,0.9452474813841437,86.32000000000001
seed22_hist0p5,22,0.5,6000,12000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed22_hist0p5,case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,physical_only,Physical-only,0.6256982088088989,0.4209890365600586,0.6256982088088989,0.4209890365600586,0.0,0.0,0.0,0.0,0.0,0.9813293502613891,262.8
seed22_hist0p5,22,0.5,6000,12000,PROJECT_ROOT/runs/phase35_subset_repeat_uncertainty/repeat_runs/seed22_hist0p5,case05,Parapharyngeal / prestyloid deep-space bulky mass,parapharyngeal_deep_space,bystander_no_sink,"Bystander, no vascular sink",0.6783689260482788,0.5909922122955322,0.9912636280059814,0.907459557056427,127.3261947631836,63.69637680053711,156.352783203125,3334.913330078125,1568.9591064453125,0.9813293502613891,262.8
