plan_id,case_label,site_group,mode,mode_label,ptv_d95,pvdr,spill_shell_0_5_mean,spill_shell_5_15_mean,cord_d2,brainstem_d2,parotid_r_mean,gtv_d95,thyroid_mean,body_dmax,parotid_l_mean,spill_shell_15_30_mean,outside_gtv_d2,oar_adjacent_outside_gtv_mean,ptv_valley_outside_gtv_mean,peak_mean,valley_mean,peak_voxels,valley_voxels,sample_id,risk_score,rank
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,physical_only,Physical-only,3.5000001788139343,1.7942250613848219,7.1248379276762455,5.551478219009564,1.6935659074783322,4.724041156768799,4.527316856745518,3.8970908999443052,7.804038130831054,24.55937385559082,0.11252559060324924,3.373278569051124,13.93813694000244,2.988130424310533,7.1248379276762455,13.828252007525254,7.707088873707019,514,10306,baseline,-5.0382579386400215,2
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,bystander_no_sink,"Bystander, no vascular sink",16.865167140960693,1.6058159783424355,20.024691478641714,16.269911766020353,10.76379467010498,17.4953596496582,14.301579094896413,20.243120861053466,18.54946177957966,40.70591735839844,1.4701816092235873,11.239136038773227,23.65381393432617,10.12057668974077,20.024691478641714,36.45452643739574,22.701559163102264,514,10306,baseline,-5.644072051419335,1
case01,Right sinonasal / maxillary bulky ellipsoid,sinonasal_midface,bystander_with_sink,"Bystander, anatomical vascular sink",16.400733947753906,1.6196194909029669,19.7267439333713,16.004091693536786,10.646429901123046,17.321714477539064,13.89091404134577,19.983428764343262,18.506689335908682,40.70418930053711,1.3779633962144755,11.070588583071533,23.651047592163078,9.637498345205179,19.7267439333713,36.45216632353193,22.506623641093125,514,10306,baseline,-5.791357424822479,1
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,physical_only,Physical-only,3.5,1.7966069888665888,7.571629834635082,6.350267394972314,4.304217872619628,7.62433998107911,0.21397229129015796,3.7045312881469727,10.421681207769057,41.908912658691406,6.310525364345974,3.867491504612612,16.51112937927246,5.1028538555147085,7.571629834635082,13.80194852374849,7.682230231362739,525,18031,baseline,-2.245855756571696,3
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,bystander_no_sink,"Bystander, no vascular sink",16.86133403778076,1.6222734504873264,20.69396643304365,17.295261671790747,15.706624832153313,23.026473617553712,3.0743633219690034,19.43079528808594,21.251619324226496,47.868133544921875,16.728933563617744,12.237124919758303,25.43240242004394,13.76496829672894,20.69396643304365,38.071002153669085,23.467684897532326,525,18031,baseline,-4.040009075584208,3
case02,Left maxillary sinus crescent abutting orbit,sinonasal_midface,bystander_with_sink,"Bystander, anatomical vascular sink",15.979913759231568,1.6429855973429066,20.38759402922112,17.050281315975003,15.619354400634757,22.80616638183594,2.9041114118364124,18.64499435424805,21.192967772114756,47.85228729248047,16.252707795422488,12.007448228541898,25.416788101196286,13.131871806386409,20.38759402922112,38.05567996797107,23.162515867160394,525,18031,baseline,-4.337619895938288,2
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,physical_only,Physical-only,3.5000001192092896,1.6557359939167076,7.893605106264787,6.3122657820646655,18.599873275756835,18.5877791595459,4.715152071943186,3.899498724937439,7.97205074948054,23.54033088684082,8.981715619443642,4.620076896488795,15.555738525390625,8.535382255425244,7.893605106264787,14.233529468502704,8.596496978260852,793,18035,baseline,3.8051861467221983,9
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,bystander_no_sink,"Bystander, no vascular sink",17.19027090072632,1.5332209827228105,21.13110073846459,17.186099810818778,39.81379409790039,39.08283203125,17.71720634036594,20.132848453521728,19.684606841474125,42.92185974121094,20.80985501992582,13.396182830503562,25.31047409057617,19.624477522613965,21.13110073846459,38.074322821964685,24.832899660914766,793,18035,baseline,2.9222596598569335,8
case03,Base-of-tongue / oropharynx bilobed central mass,oropharynx_bot,bystander_with_sink,"Bystander, anatomical vascular sink",15.65893292427063,1.348849937145633,20.30986501371903,16.800233717813004,39.63074462890625,38.617071533203124,16.627276455272327,17.358751678466795,19.591271255776608,40.01296615600586,19.824378587742043,13.197637134464399,24.607823028564454,19.078473635049605,20.30986501371903,31.621241730669556,23.44311317357126,793,18035,baseline,3.6338706457905525,8
case04,Laryngo-hypopharyngeal elongated cylinder,laryngohypopharynx,physical_only,Physical-only,3.4999999046325683,1.9199070266211269,6.1157045766817415,3.8142536735420576,12.86361804962158,26.443986892700195,3.353234562127277,4.305298233032227,5.339538831644383,27.45594596862793,2.791876085539057,2.103351772792463,13.752878570556602,4.783478232594313,6.109907462619222,13.835010256618261,7.206083453409045,256,13699,baseline,-1.2412083141216046,4
